,brand,model,price,biz30day,total_sold_price
348,福菱,FL-001,99.0,3480.0,344520.0
349,福菱,FL1308,79.0,870.0,68730.0
350,福菱,FL2655,399.0,6.0,2394.0
351,福菱,FL2658,498.0,3.0,1494.0
352,绿航,LH-513,84.0,114.0,9677.03
353,良太,2166,93.0,321.0,30045.6
354,蒙达,M-06B,81.0,342.0,27791.83
355,蒙达,M-08,139.0,1763.0,245297.0
356,金厨喜,QC-888,258.0,452.0,116616.0
357,金正, 818A,499.0,149.0,74351.0
358,金正, D30,429.0,25.0,10725.0
359,金正, JZPB-950,499.0,6.0,2994.0
360,金正, JZW-2507,159.0,53.0,8427.0
361,金正, JZPB-100D02,599.0,5.0,2995.0
362,金正, JZPB-809A,299.0,5.0,1495.0
363,金正, JZPB-810A,299.0,113.0,33787.0
364,金正, JZPB-824B,399.0,1223.0,487977.0
365,金正, JZPB-960,494.0,9.0,4451.0
366,金正, JZR-R329,119.0,7.0,833.0
367,金耐欧,180B,120.0,51.0,6120.0
368,隆粤,LY-350,399.0,3.0,1197.0
369,隆粤,LY-389,399.0,15.0,5985.0
370,韩伟,M350,178.0,864.0,153792.0
371,高博,BL513,1199.0,76.0,91124.0
372,高博,SM-505,799.0,175.0,139825.0
373,高博,SM-508,499.0,145.0,72355.0
374,麦宁,MN2118,168.0,11.0,1848.0
